Entity,Code,Day,containment_index(종합수치),school_closures(학교 폐쇄),workplace_closures(회사 폐쇄),cancel_public_events(공개행사 취소),restriction_gatherings(모임 제한),close_public_transport(대중교통폐쇄),stay_home_requirements(재택 요구),public_information_campaigns(홍보캠페인),restrictions_internal_movements(국내이동제한),international_travel_controls(국제여행제한),testing_policy(코로나 검사 정책),contact_tracing(접촉자 추적),facial_coverings(마스크 착용),vaccination_policy(백신 접종),"retail_and_recreation(식당,카페,쇼핑센터,테마파크,박물관,도서관,영화관 등)",grocery_and_pharmacy(식료품점과 약국),residential(Time spent at home; 집에서 보내기),transit_stations(교통수단),parks(공원),workplaces(Workplace visitors;직장 출근)
South Korea,KOR,20210809,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,1.429,26.429,6.286,-8.286,50.286,-15.429
South Korea,KOR,20210810,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,1,25.857,6,-8.143,46.571,-13.143
South Korea,KOR,20210811,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,0.714,24.857,5.714,-7.857,45,-11.286
South Korea,KOR,20210812,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,0.286,24.143,5.571,-7.571,43.571,-10
South Korea,KOR,20210813,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,0.286,24.143,5.286,-7.143,43.571,-8.857
South Korea,KOR,20210814,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,0.429,24.571,5.286,-6.714,44.286,-8.429
South Korea,KOR,20210815,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,2,29,4.857,-5.286,50.429,-8.429
South Korea,KOR,20210816,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,2.714,29.429,6.143,-6.857,57.857,-14.429
South Korea,KOR,20210817,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,1.857,28.429,6,-6.857,56.286,-14.143
South Korea,KOR,20210818,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,1.429,28.286,6,-6.857,54.857,-13.429
South Korea,KOR,20210819,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,1.429,28.286,5.857,-6.714,55.286,-12.714
South Korea,KOR,20210820,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,1.429,28,5.714,-6.571,55.143,-11.857
South Korea,KOR,20210821,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,-0.143,26,6.286,-8.714,47.714,-11.714
South Korea,KOR,20210822,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,-0.286,22.714,6.571,-9.429,45,-11
South Korea,KOR,20210823,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,-2.571,20,5.429,-8.571,29.714,-4
South Korea,KOR,20210824,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,-3.143,19.429,5.714,-9.571,25,-3.571
South Korea,KOR,20210825,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,-3.143,19.286,5.571,-9.571,22.571,-3.286
South Korea,KOR,20210826,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,-2.857,19.714,5.429,-9.429,21.714,-2.857
South Korea,KOR,20210827,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,-3.143,19.429,5.571,-9.714,18.286,-2.714
South Korea,KOR,20210828,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,-0.714,21.571,4.857,-7.286,26.286,-2.143
South Korea,KOR,20210829,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,-0.857,23.857,4.714,-7.143,24.857,-2
South Korea,KOR,20210830,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,0.857,25.286,4.286,-6,32.143,-1.714
South Korea,KOR,20210831,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,1.143,24.857,4,-5.429,33.143,-1.286
